Model,RMSE,MAE,R2,MAPE%,CV_R2
Gradient Boosting,2.029092362694733,0.7344605764282109,0.9683602731354667,28.29186846861776,0.8561387116669861
LightGBM,2.543739992448207,1.1817477599798554,0.9502750300644147,60.244730624506474,0.8348603836590541
Random Forest,2.569321081026519,0.9577266945396806,0.9492698841887028,39.65050379192336,0.8328330388682085
Extra Trees,2.954317688848398,1.159203013925259,0.9329276561822784,49.91904225968417,0.8267096286856803
XGBoost,3.058450120281874,0.9126158027943971,0.9281160559672077,35.56990356755633,0.8211477058295238
Decision Tree,3.548520970509352,1.3951120249550222,0.9032337646210686,56.13705617088043,0.7494468593005198
SVR (RBF),4.730844670185575,0.688056474297808,0.828008703187883,29.29445753671101,0.6664496709172485
KNN,4.989997366245482,3.1214083302935474,0.8086494450628892,151.70876451875114,0.7241671683425878
AdaBoost,7.022099125035116,4.569291926010613,0.6210664969214774,350.8569776349285,0.6699833629486781
